Rank,Title,Description,Runtime,Genre,Rating,Votes,Director,Actor
1.0,Dune: Part One,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,155,Action,8.0,690626,Denis Villeneuve,Timothée Chalamet
2.0,Nobody,"A docile family man slowly reveals his true character after his house gets burgled by two petty thieves, which, coincidentally, leads him into a bloody war with a Russian crime boss.",92,Action,7.4,292448,Ilya Naishuller,Bob Odenkirk
3.0,Spider-Man: No Way Home,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",148,Action,8.2,810975,Jon Watts,Tom Holland
4.0,Old,"A vacationing family discovers that the secluded beach where they're relaxing for a few hours is somehow causing them to age rapidly, reducing their entire lives into a single day.",108,Drama,5.8,142105,M. Night Shyamalan,Gael García Bernal
5.0,No Time to Die,"James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",163,Action,7.3,422620,Cary Joji Fukunaga,Daniel Craig
6.0,The French Dispatch,"A love letter to journalists set in an outpost of an American newspaper in a fictional twentieth century French city that brings to life a collection of stories published in ""The French Dispatch Magazine"".",107,Comedy,7.1,137062,Wes Anderson,Benicio Del Toro
7.0,The Suicide Squad,"Supervillains Harley Quinn, Bloodsport, Peacemaker, and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",132,Action,7.2,377870,James Gunn,Margot Robbie
8.0,Zack Snyder's Justice League,"Determined to ensure that Superman's ultimate sacrifice wasn't in vain, Bruce Wayne recruits a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",242,Action,7.9,417394,Zack Snyder,Henry Cavill
9.0,Girl in the Basement,"Sarah is a teen girl who is looking forward to her 18th birthday to move away from her controlling father Don. But before she could even blow out the candles, Don imprisons her in the basement of their home.",88,Crime,6.3,10833,Elisabeth Röhm,Judd Nelson
10.0,Don't Look Up,Two low-level astronomers must go on a giant media tour to warn humankind of an approaching comet that will destroy planet Earth.,138,Comedy,7.2,562310,Adam McKay,Leonardo DiCaprio
11.0,Sing 2,Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.,110,Animation,7.4,76575,Garth Jennings,Matthew McConaughey
12.0,Last Night in Soho,"An aspiring fashion designer is mysteriously able to enter the 1960s, where she encounters a dazzling wannabe singer. But the glamour is not all it appears to be and the dreams of the past start to crack and splinter into something darker.",116,Drama,7.0,153570,Edgar Wright,Thomasin McKenzie
13.0,Encanto,A Colombian teenage girl has to face the frustration of being the only member of her family without magical powers.,102,Animation,7.2,239648,Jared Bush,Stephanie Beatriz
14.0,F9,Dom and the crew must take on an international terrorist who turns out to be Dom and Mia's estranged brother.,143,Action,5.2,151147,Justin Lin,Vin Diesel
15.0,Wrath of Man,A cold and mysterious character working at a cash truck company responsible for moving a lot of money around Los Angeles each week.,119,Action,7.1,192567,Guy Ritchie,Jason Statham
16.0,Eternals,"The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.",156,Action,6.3,362874,Chloé Zhao,Gemma Chan
17.0,Free Guy,"When Guy, a bank teller, learns that he is a non-player character in a bloodthirsty, open-world video game, he goes on to become the hero of the story and takes the responsibility of saving the world.",115,Action,7.1,395019,Shawn Levy,Ryan Reynolds
18.0,The Last Letter from Your Lover,A pair of interwoven stories set in the past and present follow an ambitious journalist determined to solve the mystery of a forbidden love affair at the center of a trove of secret love letters from 1965.,110,Drama,6.7,19881,Augustine Frizzell,Shailene Woodley
19.0,Ghostbusters: Afterlife,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.",124,Adventure,7.1,194054,Jason Reitman,Carrie Coon
20.0,The Black Phone,"After being abducted by a child killer and locked in a soundproof basement, a 13-year-old boy starts receiving calls on a disconnected phone from the killer's previous victims.",103,Horror,6.9,170197,Scott Derrickson,Mason Thames
21.0,Pleasure,"Bella Cherry arrives in Los Angeles with dreams of becoming an adult film star, but she soon learns that fame won't come easy as she harnesses her ambition and cunning to rise to the top of this mesmerizing and singular world.",109,Drama,6.4,19948,Ninja Thyberg,Sofia Kappel
